bible	nwtp	Dxus yuweꞌs versiculotxi TNMte (nwtp)	/pbb/wol/publication/r345/lp-paz/nwtp
bible	sbi1	Dyus Yuwe Uꞌsesa (sbi1)	/pbb/wol/publication/r345/lp-paz/sbi1
books	bhssm	Pel peꞌla Dxus eça kweꞌsxtxis ¿kĩh kik kaapiyaꞌja? (bhssm)	/pbb/wol/publication/r345/lp-paz/bhssm
books	bt	“Ãaçxa kaajiyu’jwa’j ji’phnetka’w” (bt)	/pbb/wol/publication/r345/lp-paz/bt
books	jyq	Piyawaꞌj paapẽynisaꞌs Jesús dxiꞌjna (jyq)	/pbb/wol/publication/r345/lp-paz/jyq
books	lfb	¿Dxus eçte kĩh lecciones piyakxthaꞌw? (lfb)	/pbb/wol/publication/r345/lp-paz/lfb
books	lff	Ew wẽt mfxiꞌze bakaçxtewaꞌj (lff)	/pbb/wol/publication/r345/lp-paz/lff
books	sjj	Jeuwaꞌs “weçxan memuka” (sjj)	/pbb/wol/publication/r345/lp-paz/sjj
brochures	fg	Dxus jiꞌpha ewsa tuutheꞌjni (fg)	/pbb/wol/publication/r345/lp-paz/fg
brochures	hf	Idx yatteweꞌsx wẽt fxiꞌzeya ãjaꞌyã (hf)	/pbb/wol/publication/r345/lp-paz/hf
brochures	jl	¿Kimweꞌsx Naa Eensu Jeuwa Wẽdxnis Vxitna Ũstxkx? (jl)	/pbb/wol/publication/r345/lp-paz/jl
brochures	lffi	Ew wẽt mfxiꞌze bakaçxtewaꞌj (lffi)	/pbb/wol/publication/r345/lp-paz/lffi
brochures	yc	Kaapiyaꞌjwe zxikweꞌsxtxis (yc)	/pbb/wol/publication/r345/lp-paz/yc
magazines	kt	¿Wẽdxmag isasaꞌs jiyuya? (kt)	/pbb/wol/publication/r345/lp-paz/kt
magazines	T-30	¿Dxus eça idx te Kiꞌhna? (T-30)	/pbb/wol/publication/r345/lp-paz/T-30
magazines	T-31	¿Ĩtxi fxiꞌzewaja eꞌs yuꞌ maꞌwga thegu? (T-31)	/pbb/wol/publication/r345/lp-paz/T-31
magazines	T-32	¿Kĩh pẽhytxki yat pweꞌsx wãtwãt fxiꞌzewa? (T-32)	/pbb/wol/publication/r345/lp-paz/T-32
magazines	T-33	¿Kim yũu jxkaah ũski naa kiwes? (T-33)	/pbb/wol/publication/r345/lp-paz/T-33
magazines	T-34	¿Pxthayũu ũꞌsnxisa baaçx ente çxaa pçuumaꞌk? (T-34)	/pbb/wol/publication/r345/lp-paz/T-34
magazines	T-35	¿Kiꞌkin uuꞌsaa ĩtxi yumaatx? (T-35)	/pbb/wol/publication/r345/lp-paz/T-35
magazines	T-36	¿Jiꞌph yuhmay Dxusaꞌ jxkaahwaꞌjas? (T-36)	/pbb/wol/publication/r345/lp-paz/T-36
magazines	T-37	Thegwe jw.org (T-37)	/pbb/wol/publication/r345/lp-paz/T-37
magazines	T-dth	Uu (T-dth)	/pbb/wol/publication/r345/lp-paz/T-dth
magazines	T-fam	Yatteweꞌsx (T-fam)	/pbb/wol/publication/r345/lp-paz/T-fam
magazines	T-ftr	Ewsaꞌ paꞌjana (T-ftr)	/pbb/wol/publication/r345/lp-paz/T-ftr
magazines	T-god	Dxus (T-god)	/pbb/wol/publication/r345/lp-paz/T-god
magazines	T-jss	Jesús (T-jss)	/pbb/wol/publication/r345/lp-paz/T-jss
magazines	T-kng	Dxus Gobierno (T-kng)	/pbb/wol/publication/r345/lp-paz/T-kng
magazines	T-pry	Dxus yakh puutx weꞌwna (T-pry)	/pbb/wol/publication/r345/lp-paz/T-pry
magazines	T-rlg	Dxusaꞌs weçxawaꞌj (T-rlg)	/pbb/wol/publication/r345/lp-paz/T-rlg
magazines	T-sfr	Pxthaa yũunxisaꞌ (T-sfr)	/pbb/wol/publication/r345/lp-paz/T-sfr
other	ijwbq	Dxus yuwes paapẽynisas (ijwbq)	/pbb/wol/publication/r345/lp-paz/ijwbq
other	ijwcl	Dxus yuwes ĩtxi fxiꞌzenis yuꞌptheꞌjne (ijwcl)	/pbb/wol/publication/r345/lp-paz/ijwcl
programs	CO-pgm21	Program CO-pgm21	/pbb/wol/publication/r345/lp-paz/CO-pgm21
programs	CO-pgm22	Program CO-pgm22	/pbb/wol/publication/r345/lp-paz/CO-pgm22
